date,value,yoy
2000-06-26,4723.3,5.8039514358675826
2000-07-03,4766.2,5.349011980018559
2000-07-10,4798.4,5.7358806548996055
2000-07-17,4778.0,5.740716151020209
2000-07-24,4756.8,5.720762768369125
2000-07-31,4760.4,5.302276196164302
2000-08-07,4816.2,5.694910790703789
2000-08-14,4808.2,5.570315073004717
2000-08-21,4809.5,6.202799982334484
2000-08-28,4794.6,6.119829131714649
2000-09-04,4841.1,5.841841754301602
2000-09-11,4863.7,6.259285152494964
2000-09-18,4853.8,6.456989954818626
2000-09-25,4804.4,6.4191733486908875
2000-10-02,4835.2,5.849387040280196
2000-10-09,4868.9,6.289294446384908
2000-10-16,4874.9,6.308879972086512
2000-10-23,4844.2,6.32105702120187
2000-10-30,4830.9,5.524246395806021
2000-11-06,4883.1,5.917185432618277
2000-11-13,4882.7,5.73191857947164
2000-11-20,4883.2,6.038956808755502
2000-11-27,4886.3,6.048702144283347
2000-12-04,4922.3,5.849085005268484
2000-12-11,4935.0,5.974059439958768
2000-12-18,4950.8,6.033282645477711
2000-12-25,4958.6,6.193515226795743
2001-01-01,4987.6,6.146250106410145
2001-01-08,5011.1,6.605539718333819
2001-01-15,5007.3,6.774564994882293
2001-01-22,4979.3,7.003481325482452
2001-01-29,4933.0,6.401794573141806
2001-02-05,4993.5,6.559825867992575
2001-02-12,5001.7,6.9493446233455325
2001-02-19,5010.8,7.297644539614567
2001-02-26,5014.1,7.4166113241500575
2001-03-05,5082.3,7.582396646980372
2001-03-12,5094.7,7.642087470948655
2001-03-19,5099.8,7.459227106072741
2001-03-26,5090.4,7.651313285116079
2001-04-02,5143.2,7.485893416927891
2001-04-09,5199.1,7.581683117098104
2001-04-16,5226.8,7.891423263494679
2001-04-23,5176.9,7.800428961122785
2001-04-30,5105.4,7.715678207481491
2001-05-07,5124.2,8.110046837419294
2001-05-14,5119.2,7.97038786830615
2001-05-21,5114.3,8.229991111863555
2001-05-28,5094.9,7.906218231108086
2001-06-04,5172.0,8.22121319913791
2001-06-11,5177.7,8.35408601025427
2001-06-18,5184.2,8.813466826186422
2001-06-25,5130.0,8.610505367010358
2001-07-02,5171.1,8.495237295959047
2001-07-09,5213.8,8.657052350783601
2001-07-16,5208.4,9.00795311845959
2001-07-23,5177.7,8.848385469222997
2001-07-30,5175.7,8.72405680194943
2001-08-06,5239.0,8.778705203272285
2001-08-13,5237.9,8.936816272201643
2001-08-20,5234.1,8.828360536438318
2001-08-27,5212.7,8.720226921953845
2001-09-03,5256.2,8.574497531552726
2001-09-10,5302.2,9.015769887122982
2001-09-17,5463.9,12.569533149285084
2001-09-24,5325.1,10.837981849970868
2001-10-01,5307.9,9.776224354731955
2001-10-08,5341.6,9.70855840128162
2001-10-15,5343.5,9.612504871894823
2001-10-22,5318.4,9.789026051773252
2001-10-29,5302.9,9.770436150613747
2001-11-05,5376.6,10.106284941942612
2001-11-12,5383.2,10.250476170970991
2001-11-19,5395.4,10.48902359108781
2001-11-26,5389.9,10.306366780590626
2001-12-03,5425.9,10.23098957804278
2001-12-10,5462.8,10.695035460992909
2001-12-17,5485.1,10.792195200775634
2001-12-24,5463.0,10.172226031541154
2001-12-31,5480.8,9.888523538375171
2002-01-07,5506.1,9.87807068308355
2002-01-14,5483.6,9.512112316018605
2002-01-21,5450.9,9.47121081276483
2002-01-28,5407.9,9.6270018244476
2002-02-04,5460.9,9.360168218684283
2002-02-11,5473.8,9.438790811124221
2002-02-18,5481.6,9.39570527660254
2002-02-25,5468.0,9.052472028878555
2002-03-04,5518.3,8.578793066131475
2002-03-11,5531.6,8.575578542406825
2002-03-18,5533.4,8.502294207615968
2002-03-25,5492.7,7.903111739745405
2002-04-01,5540.9,7.7325400528853505
2002-04-08,5568.2,7.0993056490546325
2002-04-15,5583.9,6.832096119996933
2002-04-22,5540.8,7.029303250980323
2002-04-29,5469.3,7.127747091315095
2002-05-06,5509.3,7.515319464501791
2002-05-13,5511.2,7.6574464760118754
2002-05-20,5511.2,7.760592847506009
2002-05-27,5491.1,7.776403854835245
2002-06-03,5526.3,6.850348027842235
2002-06-10,5554.2,7.271568457036914
2002-06-17,5567.9,7.401334825045325
2002-06-24,5515.5,7.5146198830409405
2002-07-01,5546.4,7.257643441434114
2002-07-08,5596.1,7.332463845947301
2002-07-15,5593.1,7.386145457338156
2002-07-22,5573.3,7.640458118469606
2002-07-29,5572.6,7.668527928589386
2002-08-05,5638.1,7.617866004962792
2002-08-12,5635.1,7.5831917371465885
2002-08-19,5632.8,7.617355419269778
2002-08-26,5602.1,7.470216970092292
2002-09-02,5634.1,7.189604657357029
2002-09-09,5682.1,7.164950397948022
2002-09-16,5682.6,4.002635480151562
2002-09-23,5620.5,5.547313665471054
2002-09-30,5624.5,5.964694135157034
2002-10-07,5690.1,6.524262393290403
2002-10-14,5702.5,6.718442968092075
2002-10-21,5697.1,7.120562575210609
2002-10-28,5674.3,7.0037149484244665
2002-11-04,5743.4,6.8221552654093465
2002-11-11,5757.9,6.960543914400352
2002-11-18,5780.6,7.139415057271026
2002-11-25,5736.2,6.424980055288598
2002-12-02,5794.1,6.7859709909876775
2002-12-09,5805.1,6.266017426960535
2002-12-16,5824.7,6.1913182986636395
2002-12-23,5808.4,6.322533406553177
2002-12-30,5803.8,5.893300248138966
2003-01-06,5845.2,6.158624071484353
2003-01-13,5823.7,6.20212998759937
2003-01-20,5808.2,6.5548808453649965
2003-01-27,5755.8,6.433181086928386
2003-02-03,5783.5,5.907451152740406
2003-02-10,5826.7,6.447075158025495
2003-02-17,5857.9,6.864784004670166
2003-02-24,5807.5,6.208851499634238
2003-03-03,5852.8,6.0616494210173455
2003-03-10,5892.1,6.517101742714582
2003-03-17,5909.3,6.793291647088595
2003-03-24,5863.2,6.745316511005517
2003-03-31,5890.9,6.316663357938235
2003-04-07,5962.9,7.088466649904812
2003-04-14,5972.1,6.952130231558606
2003-04-21,5955.3,7.4808691885648315
2003-04-28,5897.1,7.8218419176128595
2003-05-05,5958.2,8.14804058591836
2003-05-12,5951.6,7.991000145158966
2003-05-19,5942.1,7.818623893163035
2003-05-26,5915.3,7.725228096374126
2003-06-02,5963.3,7.907641640880869
2003-06-09,6001.0,8.044362824529184
2003-06-16,6029.3,8.286786759819687
2003-06-23,5972.5,8.285740186746438
2003-06-30,5990.6,8.008798499927906
2003-07-07,6082.0,8.682832687049903
2003-07-14,6052.4,8.211903953085042
2003-07-21,6025.8,8.119067697773307
2003-07-28,6004.3,7.746832717223562
2003-08-04,6101.2,8.213759954594613
2003-08-11,6104.5,8.329932033149356
2003-08-18,6139.3,8.991975571651745
2003-08-25,6047.3,7.947019867549665
2003-09-01,6078.7,7.891233737420333
2003-09-08,6120.0,7.706657749775614
2003-09-15,6111.5,7.547601450040475
2003-09-22,6040.3,7.469086380215284
2003-09-29,6008.0,6.818383856342791
2003-10-06,6072.9,6.7274740338482575
2003-10-13,6073.3,6.502411223147742
2003-10-20,6066.2,6.478734794895646
2003-10-27,6019.1,6.076520451861911
2003-11-03,6054.5,5.416652157258772
2003-11-10,6087.5,5.724309209955014
2003-11-17,6107.4,5.653392381413691
2003-11-24,6051.8,5.501900212684352
2003-12-01,6092.5,5.150066446902879
2003-12-08,6108.0,5.2178257049835475
2003-12-15,6114.7,4.9787971912716555
2003-12-22,6104.9,5.104675986502305
2003-12-29,6091.6,4.958820083393634
2004-01-05,6124.9,4.7851228358311015
2004-01-12,6088.1,4.540069028280991
2004-01-19,6068.9,4.488481801590849
2004-01-26,6015.4,4.51023315612078
2004-02-02,6043.6,4.497276735540767
2004-02-09,6081.7,4.376405169306818
2004-02-16,6110.4,4.310418409327577
2004-02-23,6089.2,4.850624192854069
2004-03-01,6119.9,4.5636276653909125
2004-03-08,6162.9,4.595984453760105
2004-03-15,6182.5,4.623221024486823
2004-03-22,6177.2,5.355437303861366
2004-03-29,6174.9,4.820995094128233
2004-04-05,6255.2,4.901977225846488
2004-04-12,6273.4,5.04512650491451
2004-04-19,6263.2,5.170184541500844
2004-04-26,6199.0,5.119465499991516
2004-05-03,6226.9,4.509751267161222
2004-05-10,6258.6,5.158276765911696
2004-05-17,6287.2,5.807711078574895
2004-05-24,6229.4,5.309958920088564
2004-05-31,6249.7,4.802709908943026
2004-06-07,6303.1,5.034160973171153
2004-06-14,6310.4,4.662232763339014
2004-06-21,6273.2,5.034742570113004
2004-06-28,6237.5,4.121456949220437
2004-07-05,6309.7,3.743834265044388
2004-07-12,6309.7,4.251206133104235
2004-07-19,6282.8,4.264993859736466
2004-07-26,6247.3,4.047099578635316
2004-08-02,6284.3,3.001048973972331
2004-08-09,6320.7,3.5416496027520727
2004-08-16,6334.1,3.173000179173524
2004-08-23,6295.5,4.104311014833062
2004-08-30,6275.6,3.239179429812311
2004-09-06,6357.4,3.8790849673202565
2004-09-13,6368.1,4.198641904606082
2004-09-20,6350.9,5.142128702216775
2004-09-27,6299.8,4.8568575233022715
2004-10-04,6353.5,4.62052726045219
2004-10-11,6366.0,4.819455650140769
2004-10-18,6380.5,5.181167782137086
2004-10-25,6332.1,5.200112973700377
2004-11-01,6362.3,5.083821950615253
2004-11-08,6409.0,5.281314168377826
2004-11-15,6429.5,5.273929986573678
2004-11-22,6403.3,5.808189299051514
2004-11-29,6404.1,5.114485022568749
2004-12-06,6445.8,5.530451866404729
2004-12-13,6450.6,5.493319377892636
2004-12-20,6465.1,5.900178545103119
2004-12-27,6457.5,6.006632083524854
2005-01-03,6449.3,5.296413002661282
2005-01-10,6444.9,5.860613327639164
2005-01-17,6443.9,6.179043978315679
2005-01-24,6378.9,6.042823419888954
2005-01-31,6350.9,5.084717717916454
2005-02-07,6414.6,5.473798444513878
2005-02-14,6409.1,4.888387012306894
2005-02-21,6410.1,5.2699862050844315
2005-02-28,6413.3,4.794195983594518
2005-03-07,6466.8,4.931120089568242
2005-03-14,6474.0,4.714921148402751
2005-03-21,6471.4,4.76267564592372
2005-03-28,6469.9,4.777405302110149
2005-04-04,6528.3,4.3659675150275135
2005-04-11,6544.1,4.31504447349127
2005-04-18,6558.1,4.708455741474005
2005-04-25,6467.6,4.332956928536857
2005-05-02,6448.5,3.5587531516485083
2005-05-09,6478.6,3.515163135525512
2005-05-16,6482.8,3.1110828349662834
2005-05-23,6445.4,3.4674286448133085
2005-05-30,6444.6,3.1185496903851417
2005-06-06,6528.1,3.569672066126195
2005-06-13,6532.0,3.511663286004052
2005-06-20,6531.6,4.119109864184156
2005-06-27,6487.0,4.0000000000000036
2005-07-04,6547.4,3.767215556999548
2005-07-11,6548.9,3.7909884780575887
2005-07-18,6540.6,4.103266059718602
2005-07-25,6503.1,4.094568853744818
2005-08-01,6534.5,3.9813503492831304
2005-08-08,6577.9,4.069169554005092
2005-08-15,6577.8,3.8474289954373964
2005-08-22,6557.5,4.161702803589873
2005-08-29,6527.0,4.005991458983993
2005-09-05,6607.1,3.9277062950262787
2005-09-12,6615.2,3.880278261961956
2005-09-19,6607.5,4.040372230707456
2005-09-26,6550.0,3.9715546525286527
2005-10-03,6597.9,3.8466986700243844
2005-10-10,6626.1,4.08576814326107
2005-10-17,6653.7,4.281796097484514
2005-10-24,6599.8,4.227665387470192
2005-10-31,6593.0,3.626047184194392
2005-11-07,6661.0,3.931970666250595
